SeedCode,LA Name,Centre Type,School Name,Address 1,Address 2,Address 3,Post code,Secondary,Secondary roll,Secondary
6003834,Orkney Islands,Local Authority,Stronsay Junior High School,Stronsay,Orkney,-,KW17 2AE,Secondary,11,5
6003036,Orkney Islands,Local Authority,Westray Junior High School,Westray,Orkney,-,KW17 2DH,Secondary,16,5
6003230,Orkney Islands,Local Authority,Sanday Community School,Sanday,Orkney,-,KW17 2AY,Secondary,21,5
6103138,Shetland Islands,Local Authority,Baltasound Junior High School,Baltasound,Unst,SHETLAND,ZE2 9DY,Secondary,22,6
8110131,Argyll & Bute,Local Authority,Tiree High School,Isle Of Tiree,Argyll,-,PA77 6XA,Secondary,26,11
6103731,Shetland Islands,Local Authority,Mid Yell Junior High School,Mid Yell,Shetland,-,ZE2 9BN,Secondary,37,9
6104134,Shetland Islands,Local Authority,Whalsay School,Symbister,Whalsay,SHETLAND,ZE2 9AQ,Secondary,43,10
5142431,Highland,Local Authority,Kilchuimen Academy,Station Road,Fort Augustus,INVERNESS-SHIRE,PH32 4DL,Secondary,46,14
5153239,Highland,Local Authority,Kinlochbervie High School,Manse Road,Kinlochbervie,-,IV27 4RG,Secondary,47,10
5918332,Dumfries & Galloway,Local Authority,Dalry School,Kirkland Street,Dalry,CASTLE DOUGLAS,DG7 3UX,Secondary,52,10
6203132,Eilean Siar,Local Authority,Castlebay School,Castlebay,Barra,-,HS9 5XD,Secondary,54,15
6103030,Shetland Islands,Local Authority,Aith Junior High School,Aith,Shetland,-,ZE2 9NB,Secondary,64,10
5110432,Highland,Local Authority,Farr High School,Bettyhill,By Thurso,-,KW14 7SP,Secondary,72,13
8110530,Argyll & Bute,Local Authority,Tarbert Academy,School Road,Tarbert,ARGYLL,PA29 6TE,Secondary,92,17
5130239,Highland,Local Authority,Ardnamurchan High School,Drumnatorran,Strontian,ACHARCLE,PH36 4JA,Secondary,99,16
6204139,Eilean Siar,Local Authority,Sir E Scott School,Tarbert,Isle of Harris,WESTERN ISLES,HS3 3BG,Secondary,106,20
5135834,Highland,Local Authority,Mallaig High School,Mallaig,-,-,PH41 4RG,Secondary,126,16
5531934,Edinburgh City,Local Authority,Castlebrae Community High School,2a Greendykes Road,Edinburgh,-,EH16 4DP,Secondary,127,24
5119030,Highland,Local Authority,Gairloch High School,Achtercairn,Gairloch,-,IV21 2BP,Secondary,128,19
5351332,Perth & Kinross,Local Authority,Pitlochry High School,East Moulin Road,Pitlochry,-,PH16 5ET,Secondary,135,20
6103839,Shetland Islands,Local Authority,Sandwick Junior High School,Sandwick,Shetland,-,ZE2 9HH,Secondary,137,16
8110638,Argyll & Bute,Local Authority,Tobermory High School,Tobermory,Isle Of Mull,ARGYLL,PA75 6PB,Secondary,138,20
