Local Authority,SeedCode,School Name,School Type,FTE Teachers,Pupil roll(1),Female,Male
Aberdeen City,5244439,Aberdeen Grammar School,Secondary,87.9,1126,539,587
Aberdeen City,5235634,Bridge of Don Academy,Secondary,53.5,671,309,362
Aberdeen City,5234034,Bucksburn Academy,Secondary,69.6,773,357,416
Aberdeen City,5235839,Cults Academy,Secondary,76.8,1064,536,528
Aberdeen City,5243335,Dyce Academy,Secondary,48.6,556,284,272
Aberdeen City,5243238,Harlaw Academy,Secondary,68.4,968,487,481
Aberdeen City,5243432,Hazlehead Academy,Secondary,70.8,922,465,457
Aberdeen City,1004166,Lochside Academy,Secondary,87.1,1035,532,503
Aberdeen City,5244234,Northfield Academy,Secondary,62,767,407,360
Aberdeen City,5246237,Oldmachar Academy,Secondary,56.1,753,384,369
Aberdeen City,5246431,St Machar Academy,Secondary,70.5,961,480,481
Aberdeenshire,5257530,Aboyne Academy,Secondary,61.8,712,341,371
Aberdeenshire,5230934,Alford Academy,Secondary,60.1,698,354,344
Aberdeenshire,5251834,Banchory Academy,Secondary,69.5,839,440,399
Aberdeenshire,5213231,Banff Academy,Secondary,67.2,851,395,456
Aberdeenshire,5231132,Ellon Academy,Secondary,91.6,1149,551,598
Aberdeenshire,5219736,Fraserburgh Academy,Secondary,92.2,1126,581,545
Aberdeenshire,5231639,Inverurie Academy,Secondary,82.7,1052,533,519
Aberdeenshire,5233038,Kemnay Academy,Secondary,76.5,974,476,498
Aberdeenshire,5251931,Mackie Academy,Secondary,84.1,1164,562,602
Aberdeenshire,5252032,Mearns Academy,Secondary,56.3,709,330,379
Aberdeenshire,5232333,Meldrum Academy,Secondary,79.1,980,461,519
Aberdeenshire,5222133,Mintlaw Academy,Secondary,72.4,812,405,407
Aberdeenshire,5220734,Peterhead Academy,Secondary,87.2,1141,565,576
Aberdeenshire,5258030,Portlethen Academy,Secondary,68.6,848,395,453
Aberdeenshire,5231434,The Gordon Schools,Secondary,61.8,661,340,321
Aberdeenshire,5221234,Turriff Academy,Secondary,59.5,628,323,305
Aberdeenshire,5232937,Westhill Academy,Secondary,63.7,788,392,396
Angus,5307031,Arbroath Academy,Secondary,65.2,706,339,367
Angus,5307139,Arbroath High School,Secondary,74.3,890,443,447
Angus,5307236,Brechin High School,Secondary,50.4,548,261,287
Angus,5307430,Carnoustie High School,Secondary,73.4,847,438,409
Angus,5307538,Forfar Academy,Secondary,88.7,1110,569,541
Angus,5339537,Monifieth High School,Secondary,89.6,1123,584,539
Angus,5308038,Montrose Academy,Secondary,72,826,400,426
Angus,5307732,Webster's High School,Secondary,61.2,663,341,322
Argyll & Bute,8110034,Campbeltown Grammar School,Secondary,36.6,378,205,173
Argyll & Bute,8110239,Dunoon Grammar School,Secondary,63.2,713,332,381
Argyll & Bute,8304734,Hermitage Academy,Secondary,95.8,1254,609,645
Argyll & Bute,8109931,Islay High School,Secondary,26.2,210,114,96
Argyll & Bute,8111030,Lochgilphead High School,Secondary,37.7,452,215,237
Argyll & Bute,8110336,Oban High School,Secondary,73.1,943,468,475
Argyll & Bute,8130434,Rothesay Academy,Secondary,28.9,307,160,147
Argyll & Bute,8110530,Tarbert Academy,Secondary,13.6,99,50,49
Argyll & Bute,8110131,Tiree High School,Secondary,10.2,37,14,23
Argyll & Bute,8110638,Tobermory High School,Secondary,21,136,67,69
Clackmannanshire,5702534,Alloa Academy,Secondary,71.3,688,320,368
Clackmannanshire,5702836,Alva Academy,Secondary,76.7,892,445,447
Clackmannanshire,5702631,Lornshill Academy,Secondary,85.2,1036,521,515
Dumfries & Galloway,5948339,Annan Academy,Secondary,63.2,921,474,447
Dumfries & Galloway,5918030,Castle Douglas High School,Secondary,42.7,490,252,238
Dumfries & Galloway,5918138,Dalbeattie High School,Secondary,32,377,184,193
Dumfries & Galloway,5918332,Dalry Secondary School,Secondary,8.9,38,19,19
Dumfries & Galloway,5902932,Douglas Ewart High School,Secondary,47.4,609,288,321
Dumfries & Galloway,5939038,Dumfries Academy,Secondary,52,654,355,299
Dumfries & Galloway,5939232,Dumfries High School,Secondary,53.4,763,365,398
Dumfries & Galloway,5918731,Kirkcudbright Academy,Secondary,34.9,426,200,226
Dumfries & Galloway,5948533,Langholm Academy,Secondary,24.3,242,118,124
Dumfries & Galloway,5948630,Lockerbie Academy,Secondary,58.7,804,403,401
Dumfries & Galloway,5948738,Moffat Academy,Secondary,25.6,277,130,147
Dumfries & Galloway,1004620,North West Secondary Community Campus,Secondary,32.2,331,168,163
Dumfries & Galloway,5939631,Sanquhar Academy,Secondary,27.4,268,153,115
Dumfries & Galloway,5941032,St Joseph's College,Secondary,53.7,792,381,411
Dumfries & Galloway,5903130,Stranraer Academy,Secondary,66.6,979,520,459
Dumfries & Galloway,5939739,Wallace Hall Academy,Secondary,41.2,526,265,261
Dundee City,5331137,Baldragon Academy,Secondary,67.5,843,397,446
Dundee City,5339731,Braeview Academy,Secondary,55,641,311,330
Dundee City,5329132,Craigie High School,Secondary,60,654,337,317
Dundee City,5329434,Grove Academy,Secondary,87.3,1302,629,673
Dundee City,5329531,Harris Academy,Secondary,95.2,1313,647,666
Dundee City,5330432,Morgan Academy,Secondary,74.9,899,443,456
Dundee City,5330831,St John's RC High School,Secondary,82.8,1135,564,571
Dundee City,5330033,St Paul's RC Academy,Secondary,70.4,927,466,461
East Ayrshire,8244138,Doon Academy,Secondary,37,269,118,151
East Ayrshire,8224234,Grange Academy,Secondary,93.2,1288,603,685
East Ayrshire,1004522,Kilmarnock Academy - William McIlvanney Campus,Secondary,89,1227,624,603
East Ayrshire,8223831,Loudoun Academy,Secondary,77.2,895,410,485
East Ayrshire,1005014,Robert Burns Academy,Secondary,129,1652,865,787
East Ayrshire,8224633,St Joseph's Academy,Secondary,58.3,680,341,339
East Ayrshire,8224730,Stewarton Academy,Secondary,61.4,772,402,370
East Dunbartonshire,8325634,Bearsden Academy,Secondary,99.7,1235,585,650
East Dunbartonshire,8340030,Bishopbriggs Academy,Secondary,100.9,1227,605,622
East Dunbartonshire,8325936,Boclair Academy,Secondary,83.1,1008,456,552
East Dunbartonshire,8325731,Douglas Academy,Secondary,88.1,1041,530,511
East Dunbartonshire,8337632,Kirkintilloch High School,Secondary,69,622,321,301
East Dunbartonshire,8338132,Lenzie Academy,Secondary,103.8,1267,589,678
East Dunbartonshire,8337934,St Ninian's High School - Kirkintilloch,Secondary,82.1,891,411,480
East Dunbartonshire,8342032,Turnbull High School,Secondary,59.3,649,338,311
East Lothian,5555736,Dunbar Grammar School,Secondary,85.6,1080,548,532
East Lothian,5555930,Knox Academy,Secondary,66.8,796,375,421
East Lothian,5550831,Musselburgh Grammar School,Secondary,88,1215,592,623
East Lothian,5556031,North Berwick High School,Secondary,75,1009,500,509
East Lothian,5556139,Preston Lodge High School,Secondary,69.3,966,475,491
East Lothian,5556236,Ross High School,Secondary,100.4,1259,606,653
East Renfrewshire,8627630,Barrhead High School,Secondary,66.4,676,316,360
East Renfrewshire,8601739,Eastwood High School,Secondary,86,1109,559,550
East Renfrewshire,8602239,Mearns Castle High School,Secondary,101.5,1331,677,654
East Renfrewshire,8626138,St Luke's High School,Secondary,63.7,619,314,305
East Renfrewshire,8602433,St Ninian's High School - Giffnock,Secondary,140.5,1802,897,905
East Renfrewshire,8602034,Williamwood High School,Secondary,140.3,1647,811,836
East Renfrewshire,8601836,Woodfarm High School,Secondary,66.7,765,362,403
City of Edinburgh,5541638,Balerno Community High School,Secondary,60.5,799,383,416
City of Edinburgh,5531438,Boroughmuir High School,Secondary,95.8,1387,688,699
City of Edinburgh,5531632,Broughton High School,Secondary,85.1,1211,633,578
City of Edinburgh,5531934,Castlebrae Community High School,Secondary,35.7,284,142,142
City of Edinburgh,5532132,Craigmount High School,Secondary,87,1263,614,649
City of Edinburgh,5532434,Craigroyston Community High School,Secondary,52.4,630,285,345
City of Edinburgh,5540739,Currie Community High School,Secondary,59.5,745,347,398
City of Edinburgh,5532531,Drummond Community High School,Secondary,41.6,409,210,199
City of Edinburgh,5532639,Firrhill High School,Secondary,86.8,1236,604,632
City of Edinburgh,5532736,Forrester High School,Secondary,59.4,764,355,409
City of Edinburgh,5532930,Gracemount High School,Secondary,52,617,323,294
City of Edinburgh,5533031,Holy Rood Roman Catholic High School,Secondary,83.6,1091,545,546
City of Edinburgh,5533139,James Gillespie's High School,Secondary,106.4,1428,723,705
City of Edinburgh,5533236,Leith Academy,Secondary,81.5,977,492,485
