Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude,School Name,LA Name,Centre Type,Address Line1,Address Line2,Address Line3,Post Code
AB12 3JG,AB12 3JG,NJ 94392 02171,394392,802171,57.11046,-2.0942214,Lochside Academy,Aberdeen City,Local Authority,Wellington Circle,Altens,ABERDEEN,AB12 3JG
AB21 9DG,AB21 9DG,NJ 88953 09540,388953,809540,57.176556,-2.1843478,Bucksburn Academy,Aberdeen City,Local Authority,Kepplehills Road,Bucksburn,ABERDEEN,AB21 9DG
AB22 8RR,AB22 8RR,NJ 93322 10540,393322,810540,57.185624,-2.1121146,Bridge Of Don Academy,Aberdeen City,Local Authority,Braehead Way,Bridge Of Don,ABERDEEN,AB22 8RR
AB15 9TP,AB15 9TP,NJ 88513 02863,388513,802863,57.116565,-2.1913149,Cults Academy,Aberdeen City,Local Authority,Quarry Road,Cults,ABERDEEN,AB15 9TP
AB10 1RG,AB10 1RG,NJ 92982 05737,392982,805737,57.142474,-2.1176021,Harlaw Academy,Aberdeen City,Local Authority,18/20 Albyn Place,Aberdeen,,AB10 1RG
AB21 7NF,AB21 7NF,NJ 89469 12786,389469,812786,57.205726,-2.1759523,Dyce Academy,Aberdeen City,Local Authority,Riverview Drive,Dyce,ABERDEEN,AB21 7NF
AB15 8BE,AB15 8BE,NJ 89291 05945,389291,805945,57.14427,-2.1786016,Hazlehead Academy,Aberdeen City,Local Authority,Groat's Road,Aberdeen,,AB15 8BE
AB16 7AU,AB16 7AU,NJ 91213 07944,391213,807944,57.162268,-2.146912,Northfield Academy,Aberdeen City,Local Authority,Granitehill Place,Aberdeen,,AB16 7AU
AB10 1HT,AB10 1HT,NJ 93084 06234,393084,806234,57.14694,-2.1159306,Aberdeen Grammar School,Aberdeen City,Local Authority,Skene Street,Aberdeen,,AB10 1HT
AB22 8UR,AB22 8UR,NJ 92775 11200,392775,811200,57.191544,-2.1211833,Oldmachar Academy,Aberdeen City,Local Authority,Jesmond Drive,Bridge Of Don,ABERDEEN,AB22 8UR
AB24 3YZ,AB24 3YZ,NJ 93375 08362,393375,808362,57.16606,-2.1111789,St Machar Academy,Aberdeen City,Local Authority,St Machar Drive,Aberdeen,,AB24 3YZ
AB45 1BY,AB45 1BY,NJ 68291 63775,368291,863775,57.662739,-2.5331099,Banff Academy,Aberdeenshire,Local Authority,Bellevue Road,Banff,ABERDEENSHIRE,AB45 1BY
AB43 9NA,AB43 9NA,NJ 99182 66438,399182,866438,57.687782,-2.0153828,Fraserburgh Academy,Aberdeenshire,Local Authority,Dennyduff Road,Fraserburgh,ABERDEENSHIRE,AB43 9NA
AB42 1SY,AB42 1SY,NK 12761 46457,412761,846457,57.50813,-1.7886842,Peterhead Academy,Aberdeenshire,Local Authority,Prince Street,Peterhead,ABERDEENSHIRE,AB42 1SY
AB53 4EE,AB53 4EE,NJ 72502 49620,372502,849620,57.535876,-2.4609235,Turriff Academy,Aberdeenshire,Local Authority,Victoria Terrace,Turriff,ABERDEENSHIRE,AB53 4EE
AB42 5FN,AB42 5FN,NJ 99307 48265,399307,848265,57.524546,-2.0132258,Mintlaw Academy,Aberdeenshire,Local Authority,Station Road,Mintlaw,PETERHEAD ABERDEENSHIRE,AB42 5FN
AB33 8TY,AB33 8TY,NJ 57395 15961,357395,815961,57.232378,-2.7073724,Alford Academy,Aberdeenshire,Local Authority,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY
AB41 8LF,AB41 8LF,NJ 96864 29835,396864,829835,57.358986,-2.053771,Ellon Academy,Aberdeenshire,Local Authority,Community Campus,Kellie Pearl Way,ELLON,AB41 8LF
AB54 4SE,AB54 4SE,NJ 52980 40270,352980,840270,57.450286,-2.7851443,The Gordon Schools,Aberdeenshire,Local Authority,Castle Street,Huntly,ABERDEENSHIRE,AB54 4SE
AB51 3QZ,AB51 3QZ,NJ 77238 21504,377238,821504,57.28359,-2.3792053,Inverurie Academy,Aberdeenshire,Local Authority,"Inverurie Community Campus, Victoria Street",Inverurie,ABERDEENSHIRE,AB51 3QZ
AB51 0NT,AB51 0NT,NJ 80129 27471,380129,827471,57.337325,-2.3317348,Meldrum Academy,Aberdeenshire,Local Authority,Colpy Road,Oldmeldrum,ABERDEENSHIRE,AB51 0NT
AB32 6XZ,AB32 6XZ,NJ 83018 07268,383018,807268,57.155964,-2.2823523,Westhill Academy,Aberdeenshire,Local Authority,Hays Way,Westhill,ABERDEENSHIRE,AB32 6XZ
